Paper,Year,Bosu2016_57extra,Liebchen2010,RosliTemperoLuxton-Reilly2013,Bosu2016_LitRev,Snowballing,Quantitative,Qualitative,Data collection,Manual noise checking,Automatic noise checking,Empirical analysis of quality,Data quality meta-data,Is noise a problem?,Quality incl defects,"Cost incl productivity, schedule",Other problem domain
EkanayakeTappoletGallBernstein2012.pdf,2012,,,x,x,,Y,,,,,,,Y,Y,,
GigerD'AmbrosPinzgerGall2012.pdf,2012,,,,x,,Y,Y,,,,,,n.a.,Y,,
GaoKhoshgoftaarSeliya2012.pdf,2012,,,,x,,Y,Y,,,,,,Y,,Y,
BhattacharyaNeamtiuShelton2012.pdf,2012,,,,x,,,Y,,,,,,Y,Y,,
D'AmbrosLanzaRobbes2012.pdf,2012,,,,x,,,Y,,Y,,,,Y,Y,,
FerrucciMendesSarro2012.pdf,2012,,,,x,,Y,,Y,,,,,Y,,Y,
DejaegerVerbekeMartensBaesens2012.pdf,2012,,,,x,,Y,,,,,,,Y,,Y,
FernÃ¡ndez-DiegoTorralba-MartÃ_nez2012.pdf,2012,,,,x,,Y,,,,,,Y,Y,,Y,
KocaguneliMenziesKeung2012.pdf,2012,,,,x,,Y,,,,,,,Y,,Y,
Lopez-MartinIsazaChavoya2012.pdf,2012,,,,x,,Y,,,,,,Y,Y,,Y,
MinkuYao2012.pdf,2012,,,,x,,Y,,,,,,Y,Y,,Y,
MittasAngelis2012.pdf,2012,,,,x,,Y,,,,,,Y,Y,,Y,
ShepperdMacDonell2012.pdf,2012,,,,x,,Y,,,,,,,Y,,Y,
SeoBae2013.pdf,2013,,,x,x,,Y,,,,Y,Y,,Y,,Y,
KimTaoKimZeller2013.pdf,2013,,,,x,,Y,Y,,,Y,,,Y,Y,,
PetersMenziesGongZhang2013.pdf,2013,,,,x,,Y,Y,,,Y,,,Y,Y,,
ShepperdSongSunMair2013.pdf,2013,,,,x,,Y,Y,,,,Y,,Y,Y,,
DiBellaFronzaPhaphoomSillittiSucciVlasenko2013.pdf,2013,,,,x,,Y,Y,,Y,,,,Y,Y,,
MondenHayashiShinodaShiraiYoshidaBarkerMatsumoto2013.pdf,2013,,,,x,,Y,Y,,,,,,Y,Y,,
ShivajiWhiteheadAkellaKim2013.pdf,2013,,,,x,,Y,Y,,,,,,Y,Y,,
ThomasNagappanBlosteinHassan2013.pdf,2013,,,,x,,Y,Y,,,,,,Y,Y,,
